index,AK,AL,USA,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2018-11-01,300542.75,125750.61904761905,237861.0,101144.05,218324.54545454544,455601.9090909091,389530.5,272805.8,421613.0,237229.5,204767.5357142857,132776.9189189189,590433.75,143070.33333333334,264839.8461538461,110760.48148148147,127344.69444444444,125623.94444444444,124739.4,142414.5294117647,390077.0,222317.16666666666,200003.75,143002.9696969697,189554.4,131172.0,123238.0625,280875.4285714286,167793.83783783784,218767.125,154939.33333333334,226447.83333333334,242942.5,175286.07142857142,302439.3333333333,153968.88461538462,124158.46666666666,100346.6,287069.0,145280.35294117648,309044.0,160989.13333333333,194356.5,143967.96153846153,143395.8923076923,344766.1,186147.58333333334,231527.5,294189.85,164224.70833333334,98779.36363636363,280438.0
2018-12-01,301388.75,126263.52380952382,238852.0,101566.15,219463.54545454544,455753.6060606061,391342.1875,273344.4,423258.0,238565.0,205865.75,133415.1081081081,590669.75,143417.95238095237,267033.76923076925,111028.74074074074,127940.22222222222,125613.63157894737,124972.1,142673.0,390845.14285714284,222838.5,200716.0,143656.0606060606,190031.15,131673.48,123583.75,282456.4285714286,168437.86486486485,218935.0,155625.0,227126.33333333334,243333.25,176498.42857142858,304146.8888888889,154469.96153846153,124748.44444444444,100651.7,288243.55,145717.73529411765,309358.0,161619.33333333334,195086.8,144590.53846153847,143972.3230769231,347645.6,186776.33333333334,231525.25,295724.15,164957.45833333334,99017.45454545454,281075.1111111111
2019-01-01,302317.0,126714.38095238095,239870.0,101997.65,220678.0909090909,455296.75757575757,382465.82352941175,272856.2,424950.0,239969.5,220964.6896551724,134102.9189189189,591932.5,143837.66666666666,269378.3076923077,111339.29629629629,128695.55555555556,125930.68421052632,125354.35,142757.0588235294,391357.85714285716,223320.5,200818.5,144324.24242424243,190418.55,132134.24,123836.0,284328.71428571426,166509.35897435897,219589.0,156429.91666666666,227812.33333333334,243501.0,172224.1875,305651.0,155114.76923076922,125333.3111111111,100901.2,289558.5,146202.67647058822,309813.0,162179.66666666666,195655.1,145201.42307692306,144515.86153846153,350003.6,187477.0,232009.25,297585.3,165632.83333333334,99297.0,281943.44444444444
2019-02-01,303878.75,127137.52380952382,240810.0,102390.4,221829.63636363635,455053.1212121212,383905.4705882353,272977.2,426890.0,240123.5,221749.62068965516,134839.67567567568,593600.25,144387.19047619047,271517.0,111763.92592592593,129386.86111111111,126242.57894736843,125976.7,142851.88235294117,391304.71428571426,223637.33333333334,201052.25,145082.27272727274,190945.25,132685.64,120539.23529411765,286190.14285714284,167208.38461538462,220427.625,157246.08333333334,228550.5,243967.5,172888.3125,307042.1111111111,155652.6923076923,125978.02222222222,101123.90476190476,290594.3,146741.70588235295,309789.0,162688.73333333334,196301.2,145724.23076923078,145085.1076923077,351928.2,188312.33333333334,232885.0,299359.75,166469.79166666666,99628.72727272728,282949.44444444444
2019-03-01,305485.0,127589.95238095238,241618.0,102779.35,222799.0909090909,454701.0303030303,385243.23529411765,273347.2,428168.0,240049.5,222242.06896551725,135536.2162162162,596161.0,144854.09523809524,273862.76923076925,112181.4074074074,130079.47222222222,126642.78947368421,126538.2,142966.5294117647,391665.0,223983.16666666666,200852.75,145929.30303030304,191815.05,133190.16,121013.05882352941,287838.28571428574,167926.53846153847,221110.0,158039.91666666666,229511.66666666666,244864.0,173316.75,308314.22222222225,156358.57692307694,126692.06666666667,101444.80952380953,291754.9,147205.5294117647,310833.0,163183.6,196786.9,146402.61538461538,145606.53846153847,353811.8,189161.33333333334,233912.25,301206.85,167334.20833333334,99970.27272727272,284550.8888888889
2019-04-01,307815.5,128065.71428571429,242316.0,103196.9,223543.18181818182,455310.75757575757,386693.0588235294,274334.8,428944.0,240053.0,222922.5172413793,136159.7837837838,597186.25,145272.7619047619,275990.3076923077,112531.33333333333,130727.66666666667,127003.26315789473,127163.9,143229.17647058822,392523.71428571426,224282.5,201419.0,146708.45454545456,192670.0,133742.24,121559.05882352941,289372.85714285716,168719.92307692306,221777.75,158825.16666666666,230376.83333333334,245684.0,174038.6875,309308.44444444444,156774.46153846153,127356.11111111111,101738.47619047618,292400.85,147723.4705882353,312167.0,163685.93333333332,197335.9,147083.88461538462,146132.70769230768,355108.3,190018.0,234537.75,302807.8,168272.70833333334,100316.36363636363,286321.8888888889
2019-05-01,309093.25,128507.14285714286,242961.0,103584.1,224360.27272727274,455774.45454545453,387634.70588235295,274991.2,429240.0,240607.5,223396.6551724138,136673.56756756757,599427.75,145620.33333333334,277843.6153846154,112792.88888888889,131428.88888888888,127357.78947368421,127768.15,143532.82352941178,394128.28571428574,224449.66666666666,201869.5,147351.18181818182,193706.9,134205.24,121983.64705882352,290474.4285714286,169421.4871794872,222311.75,159559.66666666666,231393.0,246738.5,175148.875,310177.0,157183.11538461538,128014.82222222222,101993.14285714286,293264.2,148242.11764705883,313393.0,164126.73333333334,197901.5,147750.76923076922,146694.8923076923,356067.8,190811.25,235819.25,304540.05,169040.29166666666,100666.81818181818,288273.1111111111
2019-06-01,310337.0,128900.80952380953,243561.0,103941.8,225398.27272727274,455915.51515151514,388462.64705882355,274746.4,429493.0,241530.5,223850.58620689655,137199.1891891892,601417.0,146025.09523809524,279374.0,113019.77777777778,132114.27777777778,127705.73684210527,128408.65,143746.76470588235,395439.28571428574,224871.83333333334,202875.5,147843.33333333334,194497.05,134698.8,122303.76470588235,291826.14285714284,170099.58974358975,222901.5,160255.25,232070.33333333334,246988.75,176348.5,310557.77777777775,157373.88461538462,128619.06666666667,102239.76190476191,294144.95,148836.5588235294,313780.0,164525.66666666666,198590.5,148248.11538461538,147262.46153846153,357113.6,191590.25,237166.25,306136.95,169752.75,100976.36363636363,290140.22222222225
2019-07-01,311127.75,129312.33333333333,244112.0,104209.2,226659.27272727274,455133.48484848486,389265.9411764706,274425.2,429414.0,242180.0,224323.5172413793,137750.67567567568,603926.0,146468.57142857142,280669.6923076923,113275.92592592593,132739.08333333334,128150.42105263157,129025.55,143925.35294117648,395776.14285714284,225376.83333333334,203738.75,148308.0303030303,195405.6,135122.4,122624.76470588235,292707.28571428574,170696.15384615384,223490.375,160964.41666666666,232931.33333333334,247058.25,177460.625,310829.8888888889,157628.84615384616,129288.24444444444,102491.0,295049.35,149453.61764705883,314271.0,165058.66666666666,199245.6,148695.88461538462,147843.6,358267.0,192342.0,238608.0,307577.1,170475.0,101291.81818181818,292194.8888888889
2019-08-01,313397.25,129672.42857142857,244670.0,104483.75,227786.72727272726,454634.1515151515,390271.76470588235,274118.6,430277.0,243077.0,224746.24137931035,138312.45945945947,605080.5,146937.7619047619,282295.6153846154,113444.44444444444,133350.5,128560.68421052632,129668.7,144072.70588235295,395747.4285714286,225806.0,204491.5,148803.66666666666,196165.75,135511.12,122860.4705882353,294046.4285714286,171335.38461538462,224163.75,161700.16666666666,233448.0,246829.0,178204.5625,310931.3333333333,157875.96153846153,129845.08888888889,102724.52380952382,296198.3,150049.29411764705,314480.0,165531.93333333332,199847.6,149298.73076923078,148434.5076923077,359487.1,193121.16666666666,239510.75,308849.85,171345.375,101615.54545454546,294166.6666666667
2019-09-01,317452.25,130035.14285714286,245303.0,104783.15,228666.0909090909,455142.0606060606,391259.4705882353,274277.4,431566.0,243760.0,225136.72413793104,138823.48648648648,606013.5,147290.57142857142,284219.92307692306,113579.96296296296,133916.22222222222,128901.0,130366.45,144078.82352941178,395989.85714285716,225972.83333333334,205585.5,149415.72727272726,197140.05,135950.36,123086.11764705883,294893.28571428574,171972.10256410256,224875.875,162419.25,234141.0,247032.25,178879.6875,311142.55555555556,158205.76923076922,130444.06666666667,102968.38095238095,297071.2,150602.70588235295,314940.0,166006.8,200353.1,150018.23076923078,149106.6,361086.8,193945.08333333334,240331.25,310268.5,172139.33333333334,101972.81818181818,296016.0
2019-10-01,319145.5,130452.95238095238,246015.0,105165.2,229345.63636363635,456209.3333333333,392217.5882352941,274610.2,433543.0,244324.0,225624.41379310345,139311.24324324325,607839.75,147669.66666666666,285527.6153846154,113674.29629629629,134474.77777777778,129263.31578947368,131016.8,144342.5294117647,396790.0,226109.33333333334,206865.0,149999.24242424243,197976.9,136412.24,123277.17647058824,295786.85714285716,172554.35897435897,225548.5,163103.16666666666,234838.83333333334,247615.25,179818.4375,311634.1111111111,158527.84615384616,130977.82222222222,103358.09523809524,298353.45,151073.4705882353,315442.0,166372.13333333333,200836.7,150779.03846153847,149211.83076923076,362118.9,194629.16666666666,240433.0,311760.5,172953.16666666666,102351.81818181818,297225.6666666667
2019-11-01,319729.75,131022.42857142857,246750.0,105302.1,229983.18181818182,456890.63636363635,392547.29411764705,274849.4,435330.0,244595.5,226318.3103448276,139282.9189189189,607824.0,147938.38095238095,286648.6923076923,113679.33333333333,134948.19444444444,129519.78947368421,131300.65,144563.41176470587,397217.71428571426,226212.0,208439.25,150628.24242424243,198450.65,136740.88,123681.82352941176,296710.4285714286,173019.97435897434,225698.125,163098.5,235692.0,248106.0,180639.75,312242.77777777775,158870.38461538462,131250.53333333333,104343.38095238095,299160.4,151368.70588235295,317124.0,166676.4,201226.0,151501.23076923078,149122.63076923077,363391.8,194474.91666666666,240340.5,313271.15,173541.70833333334,102289.72727272728,298098.1111111111
2019-12-01,318353.25,131619.47619047618,247576.0,105402.35,231140.27272727274,457861.6060606061,393329.70588235295,275032.4,436748.0,245103.0,227062.37931034484,139181.24324324325,608479.0,148322.09523809524,287562.0,113729.70370370371,135393.11111111112,129840.1052631579,131518.75,145219.35294117648,398059.28571428574,226416.0,209682.25,151219.24242424243,198574.5,136994.52,124147.70588235294,298098.5714285714,173437.94871794872,226010.25,163003.41666666666,236512.66666666666,249193.25,181499.625,312881.55555555556,159355.8076923077,131301.88888888888,105347.28571428571,300632.8,151593.26470588235,318299.0,167022.8,201668.7,152275.07692307694,148554.9393939394,364355.9,194216.33333333334,240149.75,314862.15,174264.16666666666,102218.81818181818,298997.1111111111
2020-01-01,318933.25,132223.0,248559.0,105477.15,232572.63636363635,459372.75757575757,394084.76470588235,275370.0,437752.0,245905.5,228042.1379310345,139060.8918918919,607796.0,148562.47619047618,289193.8461538461,113822.29629629629,135837.47222222222,130052.52631578948,131624.7,145706.58823529413,399420.5714285714,226598.5,211151.25,151667.45454545456,198860.7,137235.96,124582.17647058824,300054.71428571426,173842.0,226211.0,162841.75,237630.66666666666,249472.0,181928.6875,313965.22222222225,159960.6923076923,131436.51111111112,106328.23809523809,302088.4,151852.9705882353,319174.0,167410.93333333332,202074.0,153050.38461538462,148878.69696969696,365996.3,194040.91666666666,240506.25,316697.6,174931.54166666666,102144.63636363637,300154.44444444444
2020-02-01,318294.75,132796.14285714287,249702.0,105868.35,234251.45454545456,461529.9090909091,395248.64705882355,275538.2,438865.0,247218.5,228888.75862068965,139567.86486486485,608928.25,148716.47619047618,291397.46153846156,114106.48148148147,136266.27777777778,130181.36842105263,131883.3,146383.4705882353,401467.28571428574,227072.5,212513.75,151986.69696969696,198971.55,137720.0,124694.05882352941,301840.5714285714,174483.15384615384,226897.5,163324.91666666666,239019.66666666666,250581.75,182431.6875,315216.77777777775,160566.03846153847,131774.02222222224,106537.42857142857,303849.8,152225.9411764706,320369.0,167950.06666666668,202940.7,154107.76923076922,148988.92424242425,367792.6,194545.58333333334,240218.75,318714.35,175594.5,102148.63636363637,301162.0
