RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021
394550,719,"Dyersburg, TN",Msa,TN,,107463,109361,110136,110777,111635,112887,113619,114248,114405,114549,
394745,720,"Kill Devil Hills, NC",Msa,NC,374684,381604,381786,386221,391272,398883,410697,427188,444037,456706,466276,474087
394507,722,"Crawfordsville, IN",Msa,IN,,146758,149851,151562,153152,154710,156119,157500,158800,160135,161357,164211
394422,723,"Brownwood, TX",Msa,TX,,125037,127268,128477,129693,131149,132704,134293,135601,136411,137329,
395129,725,"Stephenville, TX",Msa,TX,,182848,186827,189151,191608,193860,196306,198559,200709,202152,203538,
394324,726,"Americus, GA",Msa,GA,90681,91813,93114,94038,94974,95999,96890,97812,98617,99253,99655,
394554,727,"Easton, MD",Msa,MD,333551,340412,351084,361536,372157,376599,382201,388358,396860,403374,404457,406880
394920,728,"North Platte, NE",Msa,NE,160819,163152,165933,167316,168779,170009,171131,172214,173322,174438,175384,178334
394914,729,"Newberry, SC",Msa,SC,145307,147386,149798,151303,152846,154210,155482,156634,157873,158868,159764,
394300,730,"Ada, OK",Msa,OK,108250,109826,111725,113143,113640,113969,114179,115314,116605,117722,118810,
394881,731,"Moscow, ID",Msa,ID,360202,364022,369904,376375,382221,387470,392864,399702,403667,407156,407949,
395046,732,"Safford, AZ",Msa,AZ,,203276,209268,212844,216560,220425,224132,227424,230425,232343,234252,
394894,733,"Murray, KY",Msa,KY,139777,140743,143382,145142,146919,148464,150121,151570,152791,153793,154702,157520
394382,734,"Bennington, VT",Msa,VT,246691,251295,256458,258920,261421,264022,266858,269537,271161,272404,273246,
394696,735,"Huntington, IN",Msa,IN,,131686,134380,135546,136928,138353,139946,141232,142439,143526,144488,146853
394840,736,"Mayfield, KY",Msa,KY,99793,101276,102969,104141,105333,106536,107849,109053,110187,111125,111940,114123
394573,737,"Escanaba, MI",Msa,MI,113605,114978,116528,117761,118927,120244,121464,122809,124095,125407,126533,128730
394438,737,"Canton, IL",Msa,IL,76634,77489,78421,79007,79699,80251,80833,81332,81759,81978,82067,82707
394499,739,"Corinth, MS",Msa,MS,104887,106083,107516,108661,109706,110628,111408,112081,112624,113179,113608,
394341,740,"Astoria, OR",Msa,OR,400265,410752,417374,421877,428833,440634,451660,460509,465612,465269,468260,472232
394973,741,"Peru, IN",Msa,IN,,97628,99401,100277,101219,102515,103667,104664,105637,106616,107552,109029
394506,742,"Coshocton, OH",Msa,OH,122789,124625,126691,128204,129695,131263,132557,133939,135350,136356,137100,139084
394916,743,"Newton, IA",Msa,IA,135449,137200,139166,140327,141323,142424,143331,144323,145643,146856,147970,149890
753898,744,"Logan, WV",Msa,WV,70222,70504,70984,71360,71896,72010,72492,72995,73906,74610,75169,
394370,745,"Bay City, TX",Msa,TX,,164141,167424,168835,170012,171051,172589,174227,175797,176746,177569,
394617,746,"Fremont, NE",Msa,NE,157662,160220,163126,164845,166823,168620,170286,171724,173195,174627,175485,
394702,747,"Hutchinson, MN",Msa,MN,211927,213416,215918,218872,222001,224910,228215,230003,232580,235893,239605,242561
394366,748,"Batesville, AR",Msa,AR,103085,104254,106182,107051,108075,108879,109714,110138,110568,110964,111553,
394948,749,"Owatonna, MN",Msa,MN,208472,211315,219288,218465,217492,213630,217684,221686,225119,227840,230703,232521
395191,750,"Vidalia, GA",Msa,GA,116022,117791,119868,121418,122979,124554,125944,127250,128566,129478,130166,
753922,751,"Summit Park, UT",Msa,UT,882032,893325,903191,916695,936934,966379,1004012,1042988,1080499,1116225,1145555,1176576
753864,752,"Arkansas City-Winfield, KS",Msa,KS,86220,87761,89516,90597,91379,92193,92955,94046,94895,95680,95904,96848
394771,753,"Laramie, WY",Msa,WY,264160,267031,270461,272851,275233,277280,279485,281700,283833,285316,286723,
394984,754,"Plainview, TX",Msa,TX,84030,85096,86444,86709,86916,87071,87805,88644,89456,89845,89818,
394385,755,"Big Spring, TX",Msa,TX,137365,139742,142556,144359,146029,147649,149089,150923,152337,153620,154761,155882
